Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
MotherHub_YKB,MH-SECONDARY IN,2739011,19-10-2023,05:05 PM,FMPC3162276050,"","",H4050C210600374
MotherHub_YKB,MH-SECONDARY IN,2660320,19-10-2023,05:05 PM,FMPC3162257951,"","",H4050C210600155
MotherHub_YKB,MH-SECONDARY IN,2660318,19-10-2023,05:05 PM,FMPC3159722196,"","",H4050C200700420
MotherHub_YKB,MH-OUTBOUND,2641833,19-10-2023,05:05 PM,"",SLC31674938-23,"",H4050C210601065
MotherHub_YKB,MH-PRIMARY,2661674,19-10-2023,05:05 PM,FMPC3161758002,"","",H4050C210702039
MotherHub_YKB,MH-PRIMARY,2659442,19-10-2023,05:05 PM,FMPP1950934222,"","",H4050C210700661
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,FMPP1953140629,"","",H4050C210600246
MotherHub_YKB,MH-PRIMARY,2526768,19-10-2023,05:05 PM,FMPC3162427699,"","",H4050C210800759
MotherHub_YKB,MH-PRIMARY,2926392,19-10-2023,05:05 PM,FMPC3161031988,"","",H4050C210800486
MotherHub_YKB,MH-PRIMARY,2633536,19-10-2023,05:05 PM,F-23372406006398875,"","",H4050C210600300
MotherHub_YKB,"","",19-10-2023,05:05 PM,fed57f19-7f55-4694-ad43-e8a67a912105,"","",H4050C210600518
MotherHub_YKB,MH-SEMI LARGE TAGGING,2679939,19-10-2023,05:05 PM,FMPP1953091624,"","",H4050C210600503
MotherHub_YKB,MH-SECONDARY IN,2585037,19-10-2023,05:05 PM,FMPC3160892717,"","",H4050C210600643
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPC3161461885,"","",H4050C210600452
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPC3161754004,"","",H4050C210800016
MotherHub_YKB,MH-PRIMARY,2665564,19-10-2023,05:05 PM,FMPC3150211900,"","",H4050C210801076
MotherHub_YKB,MH-PRIMARY,2659441,19-10-2023,05:05 PM,FMPC3159484417,"","",H4050C210701077
MotherHub_YKB,MH-PRIMARY,2626908,19-10-2023,05:05 PM,FMPC3161759864,"","",H4050C210800607
MotherHub_YKB,MH-SECONDARY IN,2317678,19-10-2023,05:05 PM,FMPC3161424218,"","",H4050C210800183
MotherHub_YKB,MH-SECONDARY IN,2585830,19-10-2023,05:05 PM,FMPP1954344196,"","",H4050C210702004
MotherHub_YKB,MH-PRIMARY,2692231,19-10-2023,05:05 PM,FMPC3162118969,"","",H4050C180800383
MotherHub_YKB,MH-PRIMARY,2599626,19-10-2023,05:05 PM,FMPP1953338540,"","",H4050C210600154
MotherHub_YKB,MH-SECONDARY IN,2660318,19-10-2023,05:05 PM,FMPC3161522676,"","",H4050C200700420
MotherHub_YKB,MH-PRIMARY,2280549,19-10-2023,05:05 PM,"",SPI31918319-23,"",H4050C210600241
MotherHub_YKB,MH-PRIMARY,2626826,19-10-2023,05:05 PM,FMPC3158864433,"","",H4050C210700192
MotherHub_YKB,MH-SECONDARY IN,2567497,19-10-2023,05:05 PM,FMPP1954578379,"","",H4050C210600246
MotherHub_YKB,MH-PRIMARY,2695593,19-10-2023,05:05 PM,A-7785422260258300,"","",H4050C210800171
